Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml,Gula (g) per 100 ml_scaled,Lemak Total (g) per 100 ml_scaled,Natrium (g) per 100 ml_scaled,Klaster,Klaster_HC,Klaster_DBSCAN
Fanta Stroberi,0.0,0.0,11,0.025,1.5,250.0,Minuman Berkarbonasi,4.4,0.0,0.01,-0.9345763727765288,-0.6493583970051195,-0.5712756548452745,0,1,0
Sprite Lemon & Jeruk Nipis,0.0,0.0,12,0.04,1.5,250.0,Minuman Berkarbonasi,4.8,0.0,0.016,-0.9220712223038176,-0.6493583970051195,-0.5384743261097908,0,1,0
Fanta Minuman Air Soda,0.0,0.0,0,0.01,1.0,250.0,Air Soda,0.0,0.0,0.004,-1.072133027976352,-0.6493583970051195,-0.6040769835807581,0,1,0
Nipis Madu Lime Soda,0.0,0.0,22,0.075,1.5,240.0,Minuman Berkarbonasi,9.166666666666666,0.0,0.03125,-0.7855566629767203,-0.6493583970051195,-0.4551042822404365,0,1,0
Floridina Orange Coco,0.0,0.0,21,0.025,2.0,175.0,Minuman Rasa,12.0,0.0,0.0142857142857142,-0.6969785137950159,-0.6493583970051195,-0.547846134319929,0,1,0
Good Day Original Cappuccino,4.0,4.0,24,0.04,1.0,250.0,Minuman Kopi,9.6,1.6,0.016,-0.7720094166312831,-0.3159745628121692,-0.5384743261097908,0,1,0
Good Day Funtastic Mocacinno,2.5,2.5,23,0.08,1.0,250.0,Minuman Kopi,9.2,1.0,0.032,-0.7845145671039944,-0.4409935006345256,-0.451004116148501,0,1,0
Golda Coffee Cappuccino,5.0,5.0,19,0.08,1.0,200.0,Minuman Kopi,9.5,2.5,0.04,-0.7751357042494609,-0.1284461560786347,-0.4072690111678562,0,1,0
Good Day Avocado Delight,0.0,0.0,23,0.075,1.0,250.0,Minuman Kopi,9.2,0.0,0.03,-0.7845145671039944,-0.6493583970051195,-0.4619378923936623,0,1,0
Grass Jelly,0.0,0.0,23,0.055,1.0,310.0,Minuman Cincau,7.419354838709677,0.0,0.0177419354838709,-0.8401826563050959,-0.6493583970051195,-0.5289513597027149,0,1,0
Cincau Selasih,0.0,0.0,25,0.025,1.0,310.0,Minuman Cincau,8.064516129032258,0.0,0.0080645161290322,-0.8200130587684649,-0.6493583970051195,-0.5818567286309143,0,1,0
You C1000 Vitamin Apple,0.0,0.0,14,0.045,1.0,140.0,Minuman Soda,10.0,0.0,0.0321428571428571,-0.7595042661585719,-0.6493583970051195,-0.4502231321309895,0,1,0
You C1000 Vitamin Lemon,0.0,0.0,16,0.1,1.0,140.0,Minuman Soda,11.428571428571429,0.0,0.0714285714285714,-0.7148430144703175,-0.6493583970051195,-0.2354525273153226,0,1,0
You C1000 Vitamin Orange,0.0,0.0,20,0.06,1.0,140.0,Minuman Soda,14.285714285714285,0.0,0.0428571428571428,-0.625520511093809,-0.6493583970051195,-0.3916493308176258,0,1,0
Kratingdaeng Red Bull,0.0,0.0,0,0.0,1.0,250.0,Suplemen Makanan,0.0,0.0,0.0,-1.072133027976352,-0.6493583970051195,-0.6259445360710806,0,1,0
