Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml
Pop Ice Sultan Cheesu Red Velvet,1.5,1.0,17,0.2,1.0,23.0,Minuman Serbuk Rasa,73.91304347826086,6.521739130434782,0.8695652173913043
Pop Ice Choco Cookies,2.5,2.0,16,0.05,1.0,23.0,Minuman Serbuk Rasa,69.56521739130434,10.869565217391305,0.21739130434782608
Anget Sari Wedang Jahe,0.0,0.0,21,0.035,1.0,27.5,Minuman Serbuk,76.36363636363637,0.0,0.1272727272727273
Pop Ice Durian,2.5,2.0,17,0.05,1.0,23.0,Minuman Serbuk Rasa Susu,73.91304347826086,10.869565217391305,0.21739130434782608
Pop Ice Soursop,1.0,1.0,17,0.045,1.0,25.0,Minuman Serbuk Mengandung Susu,68.0,4.0,0.18
Pop Ice Coffee Moccacino,1.5,1.0,17,0.02,1.0,25.0,Minuman Serbuk Rasa,68.0,6.0,0.08
Pop Ice Choco Cream,1.0,1.0,15,0.03,1.0,23.0,Minuman Serbuk Mengandung Susu,65.21739130434783,4.3478260869565215,0.13043478260869565
Pop Ice Melon,1.0,1.0,19,0.03,1.0,23.0,Minuman Serbuk Mengandung Susu,82.6086956521739,4.3478260869565215,0.13043478260869565
Pop Ice Cappuccino,2.0,1.5,16,0.015,1.0,23.0,Minuman Serbuk Rasa Susu,69.56521739130434,8.695652173913043,0.06521739130434782
Pop Ice Lychee,1.5,1.0,17,0.065,1.0,25.0,Minuman Serbuk Rasa,68.0,6.0,0.26
Pop Ice Kacang Hijau,2.0,2.0,20,0.04,1.0,25.0,Minuman Serbuk Mengandung Susu,80.0,8.0,0.16
Pop Ice Guava,1.0,1.0,17,0.06,1.0,25.0,Minuman Serbuk Rasa,68.0,4.0,0.24
Delizio Caffino Dark Cappuccino,2.5,2.0,12,0.045,1.0,25.0,Minuman Serbuk Kopi,48.0,10.0,0.18
Delizio Caffino Kopi Latte Mocca,2.0,1.5,12,0.025,1.0,20.0,Minuman Serbuk Kopi,60.0,10.0,0.125
Indocafe Coffeemix Mild,2.0,2.0,11,0.005,1.0,18.0,Minuman Serbuk Kopi,61.111111111111114,11.11111111111111,0.027777777777777776
Indocafe Cappuccino,2.5,2.5,14,0.01,1.0,25.0,Minuman Serbuk,56.00000000000001,10.0,0.04
Indocafe Coffeemix,2.0,2.0,13,0.01,1.0,20.0,Minuman Serbuk,65.0,10.0,0.05
Tora Susu Kopi Susu Full Cream,3.0,2.5,18,0.07,1.0,31.0,Minuman Serbuk Kopi,58.06451612903226,9.67741935483871,0.22580645161290325
Tora Bika Creamy Latte,4.5,4.5,8,0.035,1.0,25.0,Minuman Serbuk Kopi,32.0,18.0,0.14
Nutrisari Wdank Bajigur Coconut Latte,4.0,3.0,7,0.2,1.0,15.0,Minuman Serbuk,46.666666666666664,26.666666666666668,1.3333333333333335
Lokalate Popcorn Latte,2.0,2.0,8,0.065,1.0,15.0,Minuman Serbuk Kopi,53.333333333333336,13.333333333333334,0.4333333333333333
Lokalate Aren Latte,2.5,2.5,6,0.06,1.0,15.0,Minuman Serbuk Kopi,40.0,16.666666666666664,0.4
Lokalate Tape Ketan Latte,2.0,2.0,9,0.05,1.0,15.0,Minuman Serbuk Kopi,60.0,13.333333333333334,0.33333333333333337
Lokalate Avocado Latte,2.0,2.0,7,0.03,1.0,15.0,Minuman Serbuk Kopi,46.666666666666664,13.333333333333334,0.2
Kopi Tubruk Gadjah Special Mix,0.5,0.0,17,0.0,1.0,23.0,Minuman Serbuk Kopi,73.91304347826086,2.1739130434782608,0.0
Kopi Tubruk Gadjah Tubruk Manis,0.1,0.0,15,0.005,1.0,25.0,Minuman Serbuk Kopi,60.0,0.4,0.02
Tora Bika Cappuccino,2.5,2.5,15,0.03,1.0,25.0,Minuman Serbuk Kopi,60.0,10.0,0.12
Yeo's Grass Jelly Drink,0.0,0.0,26,0.03,1.0,300.0,Minuman Cincau,8.666666666666668,0.0,0.009999999999999998
Sagiko Mixed Fruit Float,0.0,0.0,32,0.0,1.0,250.0,Minuman Buah,12.8,0.0,0.0
Sagiko Orange,0.0,0.0,30,0.0,1.0,250.0,Minuman Buah,12.0,0.0,0.0
Nutrisari Squeezed Orange Less Sugar,0.0,0.0,12,0.04,1.0,200.0,Minuman Buah,6.0,0.0,0.02
ABC Sari Kacang Hijau,0.0,0.0,15,0.065,1.0,250.0,Minuman Sari Kacang Hijau,6.0,0.0,0.026000000000000002
Ultra Sari Asem Asli,0.0,0.0,28,0.1,1.0,250.0,Minuman Buah,11.200000000000001,0.0,0.04
Teh Kotak Apel,0.0,0.0,20,0.05,1.5,200.0,Minuman Teh,10.0,0.0,0.025
Teh Kotak Mangga,0.0,0.0,21,0.04,1.5,200.0,Minuman Teh,10.5,0.0,0.02
Teh Kotak Leci,0.0,0.0,22,0.045,1.5,200.0,Minuman Teh,11.0,0.0,0.0225
Teh Kotak Blackcurrant,0.0,0.0,21,0.05,1.5,200.0,Minuman Teh,10.5,0.0,0.025
Teh Kotak Melati,0.0,0.0,17,0.01,1.5,200.0,Minuman Teh,8.5,0.0,0.005
Teh Kotak Lemon,0.0,0.0,20,0.025,1.5,200.0,Minuman Teh,10.0,0.0,0.0125
Alang Sari Cool,0.0,0.0,27,0.08,1.0,300.0,Suplemen Makanan,9.0,0.0,0.02666666666666667
S-tee,0.0,0.0,12,0.02,2.0,195.0,Minuman Teh,6.153846153846154,0.0,0.010256410256410256
Ichi Ocha Honey Lemon Tea,0.0,0.0,25,0.02,1.0,350.0,Minuman Teh,7.142857142857142,0.0,0.005714285714285714
Ichi Ocha Jasmine Tea,0.0,0.0,18,0.02,1.0,350.0,Minuman Teh,5.142857142857142,0.0,0.005714285714285714
ABC Choco Malt Coffee,2.0,2.0,17,0.065,1.0,200.0,Minuman Kopi,8.5,1.0,0.0325
Nescafe Original,3.5,2.5,17,0.105,1.0,240.0,Minuman Kopi Susu,7.083333333333333,1.4583333333333333,0.043750000000000004
Nescafe Mocha,3.0,2.0,22,0.15,1.0,220.0,Minuman Kopi Susu,10.0,1.3636363636363635,0.06818181818181818
Del Monte Red Velvet,3.5,3.0,23,0.17,1.0,240.0,Minuman Rasa,9.583333333333334,1.4583333333333333,0.07083333333333333
Del Monte Caramel Cheese,3.0,2.5,22,0.16,1.0,240.0,Minuman Kopi,9.166666666666666,1.25,0.06666666666666667
Del Monte Matcha,3.5,3.0,20,0.17,1.0,240.0,Minuman Teh Hijau Susu,8.333333333333332,1.4583333333333333,0.07083333333333333
Tong Tji Lemon Tea,0.0,0.0,22,0.01,1.0,30.0,Minuman Serbuk Teh,73.33333333333333,0.0,0.03333333333333333
Tong Tji Teh Tarik,1.5,1.5,14,0.055,1.0,23.6,Minuman Serbuk Teh,59.32203389830508,6.3559322033898304,0.23305084745762708
Luwak Collagen,2.0,2.0,18,0.01,1.0,25.0,Minuman Serbuk Kopi,72.0,8.0,0.04
Olatte Rasa Susu dan Stroberi,2.0,1.0,14,0.03,1.0,240.0,Minuman Rasa,5.833333333333333,0.8333333333333334,0.0125
Olatte Rasa Susu dan Pir,0.0,0.0,14,0.035,1.0,240.0,Minuman Rasa,5.833333333333333,0.0,0.014583333333333335
Teh Kotak Less Sugar,0.0,0.0,11,0.01,1.5,200.0,Minuman Teh,5.5,0.0,0.005
Fruit Tea Freeze,0.0,0.0,15,0.06,2.0,250.0,Minuman Teh,6.0,0.0,0.023999999999999997
Pororo Apple,0.0,0.0,28,0.03,1.0,235.0,Minuman Rasa Buah,11.914893617021278,0.0,0.01276595744680851
Pororo Strawberry,0.0,0.0,27,0.035,1.0,235.0,Minuman Rasa Buah,11.48936170212766,0.0,0.014893617021276596
Pororo Milk,0.0,0.0,27,0.03,1.0,235.0,Minuman Rasa Buah,11.48936170212766,0.0,0.01276595744680851
Pororo Mango,0.0,0.0,27,0.03,1.0,235.0,Minuman Rasa Buah,11.48936170212766,0.0,0.01276595744680851
Pororo Blueberry,0.0,0.0,26,0.035,1.0,235.0,Minuman Rasa Buah,11.063829787234042,0.0,0.014893617021276596
Groovy Root Brews,0.0,0.0,27,0.015,1.0,330.0,Minuman Berkarbonasi,8.181818181818182,0.0,0.004545454545454545
Teh Manis Bonteh,0.0,0.0,11,0.02,1.0,330.0,Minuman Teh,3.3333333333333335,0.0,0.006060606060606061
A&W Sarsaparila,0.0,0.0,12,0.01,1.0,250.0,Minuman Berkarbonasi,4.8,0.0,0.004
Nescafe Oat Latte,5.0,4.5,9,0.19,1.0,220.0,Minuman Kopi,4.090909090909091,2.272727272727273,0.08636363636363636
Nescafe Coffee Cream,2.0,1.5,11,0.105,1.0,180.0,Minuman Kopi,6.111111111111111,1.1111111111111112,0.05833333333333333
Kapal Api Black Coffee,2.0,1.0,17,0.035,1.0,200.0,Minuman Kopi,8.5,1.0,0.0175
Kopiko Lucky Day,6.0,6.0,12,0.125,1.0,180.0,Minuman Kopi Susu,6.666666666666667,3.3333333333333335,0.06944444444444445
Sari Kurma TJ,0.0,0.0,24,0.005,1.0,250.0,Minuman Sari Kurma,9.6,0.0,0.002
Sidomuncul Kunyit Asam,0.0,0.0,0,0.07,1.0,25.0,Minuman untuk Kesehatan,0.0,0.0,0.28
Kratingdaeng Super,0.0,0.0,0,0.1,1.0,150.0,Suplemen Makanan,0.0,0.0,0.06666666666666668
Kratingdaeng Energy Drink,0.0,0.0,0,0.1,1.0,150.0,Suplemen Makanan,0.0,0.0,0.06666666666666668
Zenlatte Matcha,1.0,1.0,15,0.015,1.0,20.0,Minuman Serbuk Teh,75.0,5.0,0.075
Zenlatte Thai Tea,3.0,3.0,16,0.02,1.0,27.0,Minuman Serbuk Teh,59.25925925925925,11.11111111111111,0.07407407407407407
Nutrisari Orange,0.0,0.0,9,0.0,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.0
Anget Sari Susu Jahe,0.0,0.0,20,0.07,1.0,25.0,Minuman Serbuk Instan,80.0,0.0,0.28
Anget Sari Jahe Jeruk Nipis,0.0,0.0,28,0.015,1.0,30.0,Minuman Serbuk Instan,93.33333333333333,0.0,0.05
INTRA Serbat Wangi,0.0,0.0,18,0.065,1.0,21.5,Minuman Serbuk,83.72093023255815,0.0,0.3023255813953489
Sekoteng ABC,0.0,0.0,25,0.005,1.0,30.0,Minuman Serbuk,83.33333333333334,0.0,0.016666666666666666
Nutrisari Wdank Bandrek Ginger Palm Sugar,0.5,0.0,12,0.095,1.0,15.0,Minuman Serbuk,80.0,3.3333333333333335,0.6333333333333333
Nutrisari Wdank Sereh Jahe Nipis,0.0,0.0,10,0.035,1.0,11.0,Minuman Serbuk,90.9090909090909,0.0,0.3181818181818182
ABC Beras Kentjoer,0.0,0.0,19,0.055,1.0,23.0,Minuman Serbuk,82.6086956521739,0.0,0.23913043478260868
Sunquick Mango,0.0,0.0,12,0.01,1.0,100.0,Sirup Rasa,12.0,0.0,0.01
Sunquick Orange,0.0,0.0,12,0.02,1.0,100.0,Sirup Rasa,12.0,0.0,0.02
ABC Qahwa Kopi Susu Kurma,4.0,4.0,16,0.02,1.0,27.0,Minuman Serbuk Kopi,59.25925925925925,14.814814814814813,0.07407407407407407
Delizio Caffino Brown Sugar,2.5,2.5,13,0.06,1.0,25.0,Minuman Serbuk Kopi,52.0,10.0,0.24
Luwak White Koffie Premium,2.5,2.5,5,0.015,1.0,20.0,Minuman Serbuk Kopi,25.0,12.5,0.075
ABC Kopi Klepon,3.5,3.5,15,0.015,1.0,25.0,Minuman Serbuk Kopi,60.0,14.000000000000002,0.06
Good Day Coffee Freeze Mocafrio,3.5,3.5,21,0.005,1.0,30.0,Minuman Serbuk Kopi,70.0,11.666666666666666,0.016666666666666666
Good Day Coffee Freeze Cookies N Cream,3.5,3.5,17,0.015,1.0,30.0,Minuman Serbuk Kopi,56.666666666666664,11.666666666666666,0.05
Good Day Coffee Freeze Hazelnut Macchiato,3.5,3.5,19,0.015,1.0,30.0,Minuman Serbuk Kopi,63.33333333333333,11.666666666666666,0.05
Good Day Choco Nut,2.5,2.5,13,0.035,1.0,22.0,Minuman Serbuk Kopi,59.09090909090909,11.363636363636363,0.1590909090909091
Good Day Moca Caramel,2.5,2.5,14,0.04,1.0,22.0,Minuman Serbuk Kopi,63.63636363636363,11.363636363636363,0.18181818181818182
Chocolatos Creamy,1.5,1.5,9,0.04,1.5,15.0,Minuman Serbuk Rasa,60.0,10.0,0.26666666666666666
Chocolatos Smooth Matcha,3.0,2.5,10,0.09,1.0,20.0,Minuman Serbuk Rasa,50.0,15.0,0.44999999999999996
Hilo Calcium Chocolate Hazelnut,1.5,1.0,8,0.035,1.0,14.0,Minuman Serbuk Rasa,57.14285714285714,10.714285714285714,0.25
Hilo Calcium Choco Malt,1.0,1.0,8,0.085,1.0,14.0,Minuman Serbuk Rasa,57.14285714285714,7.142857142857142,0.6071428571428572
Diamond Juice Guava,0.0,0.0,20,0.015,1.0,200.0,Minuman Sari Buah,10.0,0.0,0.0075
Diamond Juice Blueberry,0.0,0.0,17,0.01,1.0,200.0,Minuman Sari Buah,8.5,0.0,0.005
Nutrisari Jeruk Madu Less Sugar,0.0,0.0,14,0.04,1.0,200.0,Minuman Buah,7.000000000000001,0.0,0.02
Country Choice Optimist Orange,0.0,0.0,20,0.06,1.0,250.0,Minuman Sari Buah,8.0,0.0,0.023999999999999997
Country Choice Guardian Red,0.0,0.0,21,0.06,1.0,250.0,Minuman Sari Buah,8.4,0.0,0.023999999999999997
Country Choice Purify Green,0.0,0.0,20,0.06,1.0,250.0,Minuman Sari Buah,8.0,0.0,0.023999999999999997
Buavita Korean White Peach,0.0,0.0,20,0.07,1.0,245.0,Minuman Sari Buah,8.16326530612245,0.0,0.028571428571428574
Benecol Smoothie Orange,2.0,0.0,3,0.055,1.0,100.0,Minuman Rasa,3.0,2.0,0.055
Benecol Smoothie Strawberry,2.0,0.0,4,0.055,1.0,100.0,Minuman Rasa,4.0,2.0,0.055
Benecol Smoothie Blackcurrant,2.0,1.0,6,0.055,1.0,100.0,Minuman Rasa,6.0,2.0,0.055
Ichitan Thai Milk Coffee,5.0,1.5,17,0.14,1.0,250.0,Minuman Kopi Susu,6.800000000000001,2.0,0.05600000000000001
Ichitan Thai Milk Green Tea,5.0,5.0,14,0.14,1.0,300.0,Minuman Teh Hijau Susu,4.666666666666667,1.6666666666666667,0.04666666666666667
Ichitan Korean Banana Milk,4.5,2.5,21,0.15,1.0,250.0,Minuman Rasa Susu,8.4,1.7999999999999998,0.06
Ichitan Korean Strawberry Milk,3.5,3.5,17,0.21,1.0,250.0,Minuman Rasa Susu,6.800000000000001,1.4000000000000001,0.08399999999999999
Coca Cola Original,0.0,0.0,27,0.015,1.0,250.0,Minuman Berkarbonasi,10.8,0.0,0.005999999999999999
Kopi Kenangan Black Aren,3.5,2.5,14,0.2,1.0,220.0,Minuman Kopi,6.363636363636363,1.5909090909090908,0.09090909090909091
Sidomuncul Cokelat Este Emje dengan Ginseng,3.5,1.5,16,0.045,1.0,30.0,Minuman Serbuk,53.333333333333336,11.666666666666666,0.15
Sidomuncul Original Este Emje dengan Ginseng,3.5,1.5,18,0.055,1.0,30.0,Minuman Serbuk,60.0,11.666666666666666,0.18333333333333332
Sidomuncul Coffee Este Emje dengan Ginseng,3.0,1.5,18,0.045,1.0,30.0,Minuman Serbuk,60.0,10.0,0.15
Nutrisari Milky Peach,0.0,0.0,9,0.055,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.5
Nutrisari Jeruk Nipis,0.0,0.0,9,0.025,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.2272727272727273
Nutrisari Dondong,0.0,0.0,7,0.12,1.0,14.0,Minuman Serbuk Rasa,50.0,0.0,0.8571428571428572
Nutrisari Es Kuwut Nipis,0.0,0.0,9,0.085,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.7727272727272727
Nutrisari Florida Orange,0.0,0.0,9,0.02,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.18181818181818182
Pop Ice Chocolate,1.0,1.0,17,0.04,1.0,24.0,Minuman Serbuk Rasa,70.83333333333334,4.166666666666666,0.16666666666666669
Pop Ice Strawberry,1.0,1.0,16,0.02,1.0,23.0,Minuman Serbuk Rasa,69.56521739130434,4.3478260869565215,0.08695652173913043
Pop Ice Vanilla Blue,1.5,1.5,16,0.05,1.0,25.0,Minuman Serbuk Mengandung Susu,64.0,6.0,0.2
Pop Ice Vanilla Latte,1.5,1.5,16,0.015,1.0,25.0,Minuman Serbuk Rasa,64.0,6.0,0.06
ABC Squash Delight Jeruk Florida,0.0,0.0,6,0.05,15.5,29.0,Squash Berperisa,20.689655172413794,0.0,0.1724137931034483
Marjan Squash Cocopandan,0.0,0.0,13,0.025,15.0,30.0,Squash Berperisa,43.333333333333336,0.0,0.08333333333333334
Marjan Squash Strawberry,0.0,0.0,12,0.025,15.0,30.0,Squash Berperisa,40.0,0.0,0.08333333333333334
Marjan Squash Mango,0.0,0.0,13,0.03,15.0,30.0,Squash Berperisa,43.333333333333336,0.0,0.1
Marjan Boudoin Melon,0.0,0.0,21,0.01,15.0,30.0,Sirup Rasa,70.0,0.0,0.03333333333333333
Marjan Boudoin Cocopandan,0.0,0.0,21,0.005,15.0,30.0,Sirup Rasa,70.0,0.0,0.016666666666666666
Marjan Boudoin Stroberi,0.0,0.0,21,0.01,15.0,30.0,Sirup Rasa,70.0,0.0,0.03333333333333333
Tropicana Slim Sirup Rasa Lychee,0.0,0.0,0,0.01,30.0,25.0,Sirup Rasa,0.0,0.0,0.04
Tropicana Slim Sirup Rasa Orange,0.0,0.0,0,0.015,30.0,25.0,Sirup Rasa,0.0,0.0,0.06
Tropicana Slim Sirup Rasa Cocopandan,0.0,0.0,0,0.005,30.0,25.0,Sirup Rasa,0.0,0.0,0.02
Excelso Robusta Gold,1.0,0.0,0,0.0,20.0,10.0,Minuman Serbuk Kopi,0.0,10.0,0.0
Excelso Arabica Gold,1.5,0.5,0,0.0,20.0,10.0,Minuman Serbuk Kopi,0.0,15.0,0.0
Indocafe Original Bland,0.0,0.0,0,0.0,1.0,2.0,Minuman Serbuk Kopi,0.0,0.0,0.0
Kapal Api Special,0.5,0.0,0,0.0,10.0,6.5,Minuman Serbuk Kopi,0.0,7.6923076923076925,0.0
Kapal Api Lampung,1.0,0.0,0,0.0,21.5,7.0,Minuman Serbuk Kopi,0.0,14.285714285714285,0.0
Kapal Api One Kopi + Gula,0.5,0.0,17,0.0,1.0,23.0,Minuman Serbuk Kopi,73.91304347826086,2.1739130434782608,0.0
