Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml
Tropicana Slim Almond Drink Chocolicious,3.0,0.5,0,0.09,1.0,190.0,Minuman Almond,0.0,1.5789473684210527,0.047368421052631574
Tropicana Slim Oat Drink Japanese Cantaloupe Melon,3.0,1.0,0,0.125,1.0,190.0,Minuman Oat,0.0,1.5789473684210527,0.06578947368421052
Tropicana Slim Collagen Shot Peach Blossom,0.0,0.0,5,0.025,1.0,190.0,Minuman Rasa,2.631578947368421,0.0,0.013157894736842105
Tropicana Slim Oat Drink Vanillicious,2.5,1.5,0,0.07,1.0,190.0,Minuman Oat,0.0,1.3157894736842104,0.0368421052631579
Oatside Barista Blend,6.0,0.5,6,0.08,1.0,200.0,Minuman Oat,3.0,3.0,0.04
Oatside Chocolate,6.0,1.0,10,0.09,1.0,200.0,Minuman Oat,5.0,3.0,0.045
Oatside Mocha,6.0,0.0,14,0.08,1.0,200.0,Minuman Oat,7.000000000000001,3.0,0.04
Oatside Caramel Macchiato,6.0,0.0,14,0.08,1.0,200.0,Minuman Oat,7.000000000000001,3.0,0.04
Oatside Coffee,7.0,0.5,12,0.09,1.0,200.0,Minuman Oat,6.0,3.5000000000000004,0.045
Luwak White Koffie Original,1.5,1.5,12,0.015,1.0,20.0,Minuman Serbuk Kopi,60.0,7.5,0.075
Kopi Kenangan Kopi Susu Alpukat,3.0,3.0,20,0.16,1.0,220.0,Minuman Kopi,9.090909090909092,1.3636363636363635,0.07272727272727274
Kopi Kenangan Cappucino Mantancino,3.5,3.5,20,0.18,1.0,220.0,Minuman Kopi,9.090909090909092,1.5909090909090908,0.08181818181818182
Kopi Kenangan Original Black Coffee,0.0,0.0,13,0.06,1.0,220.0,Minuman Kopi,5.909090909090909,0.0,0.027272727272727275
Green Sands Original Lime & Apple,0.0,0.0,19,0.03,1.0,250.0,Minuman Berkarbonasi,7.6,0.0,0.011999999999999999
Bintang 00,0.0,0.0,14,0.025,1.5,250.0,Minuman Malt,5.6000000000000005,0.0,0.01
Nescafe Latte,3.0,3.5,16,0.115,1.0,220.0,Minuman Kopi Susu,7.2727272727272725,1.3636363636363635,0.052272727272727276
Nescafe Caramel Macchiato,3.0,3.0,16,0.115,1.0,220.0,Minuman Kopi Susu,7.2727272727272725,1.3636363636363635,0.052272727272727276
