Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml,Gula (g) per 100 ml_scaled,Lemak Total (g) per 100 ml_scaled,Natrium (g) per 100 ml_scaled
Teh Poci Pandan Vanilla,0.0,0.0,19,0.0,1.0,24.0,Minuman Serbuk Rasa,79.16666666666666,0.0,0.0,1.4028446697477406,-0.6493583970051195,-0.6259445360710806
Nutrisari Cocopandan,0.0,0.0,9,0.06,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.5454545454545454,1.4857386596236677,-0.6493583970051195,2.35599443988198
Nutrisari Jeruk Maroko,0.0,0.0,10,0.015,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.13636363636363635,1.7699466249125584,-0.6493583970051195,0.11954020791718452
Nutrisari Anggur Hijau,0.0,0.0,10,0.035,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.3181818181818182,1.7699466249125584,-0.6493583970051195,1.113519866568205
Nutrisari Es Cincau,0.0,0.0,10,0.015,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.13636363636363635,1.7699466249125584,-0.6493583970051195,0.11954020791718452
Nutrisari Milky Orange,0.0,0.0,8,0.06,1.0,11.0,Minuman Serbuk Rasa,72.72727272727273,0.0,0.5454545454545454,1.2015306943347766,-0.6493583970051195,2.35599443988198
Nutrisari Blewah,0.0,0.0,9,0.005,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.045454545454545456,1.4857386596236677,-0.6493583970051195,-0.37744962140832555
Nutrisari Semangka,0.0,0.0,10,0.005,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.045454545454545456,1.7699466249125584,-0.6493583970051195,-0.37744962140832555
Nutrisari Isotonik,0.0,0.0,10,0.07,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.6363636363636364,1.7699466249125584,-0.6493583970051195,2.85298426920749
Nutrisari Gula Asem,0.0,0.0,9,0.115,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,1.0454545454545454,1.4857386596236677,-0.6493583970051195,5.089438501172285
Nutrisari Sweet Guava,0.0,0.0,9,0.01,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.09090909090909091,1.4857386596236677,-0.6493583970051195,-0.12895470674557047
Nutrisari Belimbing,0.0,0.0,4,0.03,1.0,6.0,Minuman Serbuk Rasa,66.66666666666666,0.0,0.5,1.0120587174755153,-0.6493583970051195,2.1074995252192252
Adem Sari Madu Lemon Tea,0.0,0.0,15,0.035,2.0,175.0,Minuman Berperisa,8.571428571428571,0.0,0.02,-0.8041655178468263,-0.6493583970051195,-0.5166067736194684
Adem Sari Sparkling,0.0,0.0,23,0.095,1.5,250.0,Minuman Berkarbonasi,9.2,0.0,0.038,-0.7845145671039944,-0.6493583970051195,-0.4182027874130174
Cap Panda Cincau Selasih,0.0,0.0,25,0.025,1.0,310.0,MInuman Cincau,8.064516129032258,0.0,0.008064516129032258,-0.8200130587684649,-0.6493583970051195,-0.5818567286309143
Cap Panda Cincau,0.0,0.0,23,0.055,1.0,310.0,MInuman Cincau,7.419354838709677,0.0,0.017741935483870968,-0.8401826563050959,-0.6493583970051195,-0.5289513597027149
Tora Cafe Iced Cappuccino,3.5,3.0,14,0.15,1.0,180.0,Minuman Kopi,7.777777777777778,1.9444444444444444,0.08333333333333333,-0.8289773243403008,-0.24420443184007581,-0.1703705258560297
